 		 Inside Get Image Trajectory Method
  			(x, y, angle values Respectively)

-312.263	-40.2518	-0.010567
-302.053	-37.7639	-0.00948486
-292.967	-34.9496	-0.00859899
-285.786	-33.8576	-0.00847581
-277.962	-32.6129	-0.00873004
-269.017	-30.2393	-0.00892707
-258.937	-26.7418	-0.00946184
-250.094	-23.3776	-0.0129875
-242.739	-21.597	-0.0170177
-235.561	-22.2104	-0.0206537
-228.018	-24.9107	-0.0237133
-219.788	-28.9032	-0.025825
-210.668	-34.0661	-0.0265782
-194.192	-41.8919	-0.0253338
-167.976	-49.2793	-0.0240585
-141.841	-52.113	-0.0246498
-115.834	-53.3946	-0.0251455
-90.6725	-53.6882	-0.0257281
-66.9083	-52.6869	-0.0264949
-44.8669	-51.343	-0.0277503
-23.2737	-49.7194	-0.0285579
-4.01526	-47.0204	-0.029634
9.09493	-44.4182	-0.0306069
15.5333	-41.0519	-0.0326353
14.9727	-38.9355	-0.0333639
22.6155	-32.2811	-0.0337078
28.9616	-26.081	-0.0308382
28.8668	-26.4464	-0.0282684
28.2108	-27.0637	-0.0254435
24.3383	-26.861	-0.0242518
19.5802	-24.3326	-0.0231234
14.9166	-20.2511	-0.0216486
9.1563	-17.3736	-0.0197129
1.21487	-16.6826	-0.0171721
-9.62203	-19.1639	-0.0146725
-23.8027	-23.7293	-0.0132522
-40.3767	-28.9084	-0.0130549
-56.5319	-34.2027	-0.0129706
-69.7324	-39.0574	-0.0127503
-83.3738	-44.1976	-0.0126077
-96.5648	-49.4809	-0.0119114
-109.469	-54.7499	-0.0111756
-122.061	-59.6954	-0.0107462
-136.04	-64.262	-0.0108543
-152.306	-69.3521	-0.0116635
-168.875	-74.1368	-0.0119893
-184.186	-77.5613	-0.012134
-198.299	-76.7201	-0.0142398
-215.371	-75.9901	-0.0152808
-233.368	-73.8458	-0.0179834
-250.697	-71.1131	-0.0225986
-266.644	-67.6702	-0.0262822
-280.227	-59.7647	-0.0295669
-296.886	-43.9013	-0.0336945
-305.368	-33.8671	-0.03733
-309.084	-29.416	-0.0403319
-308.255	-29.7409	-0.0408021
-307.185	-27.5221	-0.0426794
-304.924	-27.5851	-0.0446623
