 		 Inside Next Frame Transformation Method
  			(x, y, angle values Respectively)

8.47048	-1.04665	0.000718898
8.31686	-0.849636	0.00097625
9.99787	-0.0862179	0.00116519
10.8453	2.14054	0.000698762
10.21	2.48782	0.00108215
9.08591	2.81432	0.000885872
7.18138	1.09202	0.000123179
7.82348	1.24474	-0.00025423
8.94493	2.37361	-0.000197024
10.0803	3.4975	-0.000534773
8.84346	3.36412	-0.0035257
7.35441	1.78065	-0.00403021
7.17805	-0.613384	-0.00363593
7.54312	-2.70037	-0.00305962
8.23002	-3.99243	-0.00211169
9.12045	-5.16296	-0.000753227
16.4753	-7.82572	0.00124444
26.2161	-7.38747	0.0012753
26.1354	-2.83364	-0.000591383
26.0069	-1.28159	-0.000495676
25.1614	-0.293633	-0.000582576
23.7642	1.00127	-0.000766813
22.0414	1.3439	-0.00125538
21.5932	1.62358	-0.000807622
19.2585	2.69906	-0.00107607
13.1102	2.60217	-0.000972884
6.43836	3.36635	-0.0020284
-0.56055	2.11638	-0.00072867
7.6428	6.65442	-0.000343869
6.34607	6.2001	0.00286957
-0.0948246	-0.365455	0.00256979
-0.656	-0.617299	0.00282495
-3.87245	0.202697	0.00119165
-4.75813	2.52837	0.0011285
-4.6636	4.08153	0.0014748
-5.7603	2.87755	0.00193562
-7.94143	0.690984	0.00254086
-10.8369	-2.48131	0.00249954
-14.1807	-4.56536	0.0014203
-16.574	-5.17914	0.000197336
-16.1552	-5.2943	8.42634e-005
-13.2005	-4.85473	0.000220367
-13.6415	-5.14021	0.000142589
-13.1909	-5.28328	0.000696284
-12.9041	-5.26901	0.000735788
-12.5919	-4.94543	0.000429398
-13.9793	-4.56663	-0.000108058
-16.2654	-5.09015	-0.000809272
-16.5692	-4.7847	-0.000325716
-15.3116	-3.42443	-0.00014475
-14.1126	0.8412	-0.00210582
-17.0723	0.730016	-0.00104103
-17.9973	2.1443	-0.00270258
-17.3281	2.73264	-0.00461517
-15.9476	3.44294	-0.00368363
-13.5825	7.90545	-0.00328468
-16.6598	15.8634	-0.0041276
-8.48166	10.0343	-0.00363547
-3.71606	4.45107	-0.00300193
0.82889	-0.324933	-0.000470174
1.07002	2.21886	-0.0018773
2.26165	-0.0629959	-0.00198291
3.311	-2.6413	-0.00201507
3.00246	-5.4592	-0.000887776
3.21708	-7.17772	-0.000284985
4.00068	-8.8954	-0.00011348
6.91427	-7.70498	-0.000829034
8.79555	-6.58942	-0.00109748
11.7928	-5.42104	-0.000334444
16.438	-4.35637	-0.00040493
12.1116	-3.18032	0.000189157
7.08635	-0.993124	-0.000378235
9.62594	0.944531	-0.000210469
15.2274	6.21923	0.00191434
13.9156	1.72273	0.00501029
13.2127	-0.195052	0.00343576
7.922	-0.0449018	0.00197917
15.9717	1.76554	0.00492774
28.1655	6.73661	0.008673
21.4063	7.69359	0.00720791
14.4848	5.64483	0.00457178
5.59361	1.46338	0.00185058
-1.31842	-1.78711	0.000933198
2.40304	-2.07076	0.00255014
3.20109	-3.48048	0.00251496
1.5058	-5.02188	0.00193742
-0.475322	-5.86154	0.00137811
-1.39081	-6.64519	0.00157102
-2.9121	-6.63497	0.000779875
-5.75038	-6.80344	0.000498044
-8.74657	-6.8466	-0.000268868
-9.23897	-6.53029	-0.000304379
-9.39853	-5.76749	-0.000620742
-8.2672	-4.57515	-0.000850855
-7.04042	-1.42847	-0.000913528
-7.80048	0.116137	6.8079e-005
-10.5259	1.05557	-0.00156961
-12.8444	-1.50808	-0.00160544
-11.4246	-0.523858	-0.00342081
-11.1676	0.2859	-0.00392982
-10.5102	0.0692011	-0.00385589
-8.3201	0.816152	-0.0039392
-5.04703	1.71466	-0.00348488
-2.56129	2.19764	-0.00224062
-0.411905	2.13374	-0.000397149
1.93232	1.84773	0.000891908
4.59008	0.952645	0.00101368
7.49878	0.712445	-0.000123721
9.69131	0.302126	-0.000523607
11.1574	-0.757139	-0.00140043
14.0694	-1.91992	-0.00182568
18.2594	-3.0776	-0.00190771
25.0435	-4.52557	-0.000841002
26.3023	-5.00311	0.00121818
18.3225	-3.69397	-0.000972456
11.0872	-1.28347	-0.00110631
9.93838	-1.27431	0.00105408
15.3457	-5.85217	0.00320664
9.75836	-8.75821	0.000273467
