 		 Inside Smooth Trajectory Method
  			(x, y, angle values Respectively)

-330.226	-32.4154	-0.0139837
-321.832	-32.6538	-0.0139016
-313.394	-32.836	-0.0139963
-304.889	-33.0345	-0.0142329
-296.254	-33.3268	-0.0145778
-287.186	-33.8311	-0.0149479
-277.255	-34.535	-0.0153281
-266.491	-35.2469	-0.0157759
-254.916	-35.9393	-0.016259
-242.572	-36.5716	-0.0168115
-229.5	-37.1064	-0.0174347
-215.774	-37.5367	-0.0181642
-201.496	-37.8856	-0.0189876
-186.818	-38.2079	-0.0198956
-172.001	-38.5248	-0.0209014
-157.311	-38.8154	-0.022046
-142.989	-39.0572	-0.0232311
-128.676	-39.0414	-0.0244205
-114.486	-38.8434	-0.0254639
-100.781	-38.8293	-0.0263595
-87.5285	-39.0048	-0.0269526
-74.8105	-39.2555	-0.0272971
-62.6609	-39.3566	-0.0274147
-51.0926	-39.1347	-0.0273164
-40.1905	-38.5857	-0.0270253
-30.1009	-37.7579	-0.0265774
-21.3118	-36.6756	-0.0260697
-14.4464	-35.4589	-0.0255552
-9.61477	-34.3539	-0.025003
-6.79086	-33.44	-0.0244233
-5.79371	-32.7433	-0.0238053
-6.57778	-32.3391	-0.023144
-9.03959	-32.2504	-0.0223897
-13.1441	-32.49	-0.021562
-18.7653	-33.0935	-0.0206626
-25.6765	-34.0385	-0.019722
-33.6689	-35.3861	-0.0187233
-42.4235	-37.0624	-0.0177055
-52.2712	-39.2186	-0.0166782
-63.0931	-41.6299	-0.0158878
-74.7235	-43.9892	-0.0152693
-87.1797	-46.2169	-0.0149141
-100.277	-48.3241	-0.0148353
-113.906	-50.3878	-0.0149858
-127.961	-52.2694	-0.0153628
-142.534	-53.5326	-0.0160286
-157.133	-54.351	-0.0169885
-171.393	-54.8391	-0.0182104
-184.939	-55.1254	-0.0195223
-197.644	-55.0594	-0.020933
-209.472	-54.7443	-0.0224421
-220.514	-54.3237	-0.0240577
-230.763	-53.9184	-0.0257223
-240.231	-53.6033	-0.0274337
-248.894	-53.4608	-0.0291855
-256.629	-53.4498	-0.0309972
-263.278	-53.5351	-0.0328561
-268.592	-53.6361	-0.0346923
-272.334	-53.7168	-0.0365323
-274.769	-53.7858	-0.0383564
-276.196	-53.9422	-0.0400983
-276.351	-54.0884	-0.0418006
-274.924	-54.0405	-0.043283
-272.009	-54.0407	-0.0443071
-267.706	-54.2141	-0.0449922
-262.378	-54.7662	-0.0454266
-255.497	-55.9895	-0.0454298
-246.87	-57.3699	-0.0448469
-237.048	-58.5959	-0.0437778
-226.575	-59.5376	-0.0424686
-215.886	-60.5153	-0.0409819
-205.368	-61.5751	-0.0393563
-194.894	-62.6077	-0.0375133
-184.409	-63.5461	-0.0355083
-174.007	-64.3818	-0.0333975
-163.817	-65.0731	-0.0312156
-154.023	-65.7139	-0.0289195
-144.787	-66.3568	-0.026534
-136.385	-67.0656	-0.0241088
-129.183	-67.893	-0.0216771
-122.998	-68.8799	-0.019269
-117.598	-70.0942	-0.0168723
-113.05	-71.5712	-0.0145062
-109.562	-73.4125	-0.0122748
-107.108	-75.3303	-0.0102787
-105.785	-77.1885	-0.00852089
-105.451	-79.1164	-0.00693382
-106.421	-81.1533	-0.0057443
-109.264	-83.4974	-0.00515492
-113.627	-86.2046	-0.00509238
-119.076	-89.1417	-0.00543513
-125.032	-92.0668	-0.00603195
-131.047	-94.8022	-0.0067799
-137.196	-97.3373	-0.0076682
-143.405	-99.6188	-0.00863379
-149.467	-101.616	-0.00964336
-155.15	-103.3	-0.0107245
-160.305	-104.653	-0.0119053
-164.79	-105.726	-0.0131899
-168.331	-106.566	-0.0145853
-170.586	-107.228	-0.0160586
-171.209	-107.793	-0.0175575
-170.132	-108.323	-0.0189689
-167.788	-108.81	-0.020386
-164.582	-109.29	-0.0218123
-160.53	-109.837	-0.0231916
-155.247	-110.713	-0.0243436
-148.887	-111.933	-0.025406
-147.694	-111.912	-0.0262372
-145.787	-111.903	-0.0269491
-143.085	-111.897	-0.0275258
-139.575	-111.938	-0.0279387
-135.311	-112.091	-0.0281854
-130.308	-112.412	-0.0283156
-124.561	-112.931	-0.0284361
-118.078	-113.671	-0.0286436
-110.897	-114.615	-0.0289703
-103.093	-115.795	-0.0293451
